Date,"Seabed mining","Anglerfish"
2023-10-12,24,1660
2023-10-13,30,1339
2023-10-14,27,1362
2023-10-15,28,1233
2023-10-16,35,1266
2023-10-17,25,1195
2023-10-18,33,1409
2023-10-19,22,1722
2023-10-20,16,2254
2023-10-21,19,2375
2023-10-22,26,1681
2023-10-23,27,1878
2023-10-24,33,2054
2023-10-25,19,1747
2023-10-26,17,2034
2023-10-27,13,2087
2023-10-28,23,1841
2023-10-29,13,1881
2023-10-30,9,1706
2023-10-31,13,2201
2023-11-01,21,2687
2023-11-02,23,2380
2023-11-03,20,2516
2023-11-04,15,1907
2023-11-05,16,1696
2023-11-06,20,1599
2023-11-07,14,1488
2023-11-08,17,1466
2023-11-09,20,1603
2023-11-10,14,1755
2023-11-11,13,1676
2023-11-12,16,1964
2023-11-13,17,1710
2023-11-14,17,1611
2023-11-15,17,1562
2023-11-16,12,1510
2023-11-17,22,1646
2023-11-18,12,1599
2023-11-19,16,1659
2023-11-20,13,1566
2023-11-21,20,1423
2023-11-22,27,1373
2023-11-23,15,1590
2023-11-24,17,1395
2023-11-25,18,1369
2023-11-26,12,1379
2023-11-27,11,1447
2023-11-28,12,1375
2023-11-29,19,1426
2023-11-30,17,1405
2023-12-01,11,1294
2023-12-02,11,1475
2023-12-03,30,1436
2023-12-04,22,1480
2023-12-05,20,1697
2023-12-06,33,1337
2023-12-07,26,1411
2023-12-08,18,1322
2023-12-09,16,2141
2023-12-10,10,3056
2023-12-11,29,1901
2023-12-12,67,1572
2023-12-13,54,1629
2023-12-14,43,1385
2023-12-15,26,1260
2023-12-16,12,1188
2023-12-17,32,1196
2023-12-18,18,1320
2023-12-19,29,1168
2023-12-20,25,1227
2023-12-21,31,1100
2023-12-22,16,1080
2023-12-23,17,1104
2023-12-24,26,1254
2023-12-25,20,1409
2023-12-26,33,1618
2023-12-27,19,1543
2023-12-28,24,1417
2023-12-29,38,1298
2023-12-30,44,1701
2023-12-31,47,2260
2024-01-01,27,1482
