Date,"Polar bear","Great white shark","Blue whale","Anglerfish"
2023-06-16,3134,4245,3792,1462
2023-06-17,2881,4406,3839,1420
2023-06-18,3309,4210,4992,1459
2023-06-19,3363,4286,4255,1398
2023-06-20,3107,4676,4398,2592
2023-06-21,3090,4684,6588,5371
2023-06-22,3270,5122,7230,8117
2023-06-23,3217,5088,6457,8041
2023-06-24,2849,4346,6580,5003
2023-06-25,3269,6157,6599,4008
2023-06-26,3293,5202,7298,3174
2023-06-27,2968,5079,7100,3105
2023-06-28,3138,4599,13301,2869
2023-06-29,2742,4594,9563,2834
2023-06-30,3405,4141,6697,2373
2023-07-01,3115,4692,5895,2328
2023-07-02,3301,6070,5422,3145
2023-07-03,3498,5844,5637,3069
2023-07-04,3076,5973,5552,2456
2023-07-05,2984,6426,4716,2018
2023-07-06,3053,5689,4533,1951
2023-07-07,2770,5469,4272,1795
2023-07-08,2855,5472,4446,1879
2023-07-09,3223,5287,4808,1895
2023-07-10,3810,5061,4312,1880
2023-07-11,3888,4362,4154,1655
2023-07-12,3283,4509,3711,1715
2023-07-13,3133,4222,4494,1574
2023-07-14,2899,5571,4318,1692
2023-07-15,3048,5448,4882,1791
2023-07-16,3087,5291,4941,1704
2023-07-17,3165,5059,4585,2090
2023-07-18,2965,5266,4065,1714
2023-07-19,2885,4049,3795,1585
2023-07-20,2815,3926,3795,1468
2023-07-21,2806,4303,3793,1403
2023-07-22,2936,4256,3811,1616
2023-07-23,3065,5004,4593,1973
2023-07-24,3236,6634,4169,2045
2023-07-25,2970,5952,3672,1891
2023-07-26,2963,5647,4077,1636
2023-07-27,2944,5366,3907,1563
2023-07-28,3142,5330,4088,1689
2023-07-29,3586,5831,4319,1487
2023-07-30,3451,6194,4182,1552
2023-07-31,3753,4823,3845,1468
2023-08-01,3934,4593,3552,1245
2023-08-02,4015,4041,7620,1295
2023-08-03,3660,4127,16692,1353
2023-08-04,3022,4427,7685,1257
2023-08-05,2921,4076,5766,1463
2023-08-06,3192,4543,5308,1503
2023-08-07,3237,4009,4725,1321
2023-08-08,3092,4037,4079,1305
2023-08-09,3241,3854,3916,1341
2023-08-10,3437,3535,3639,1247
2023-08-11,2958,3262,3392,1347
2023-08-12,3309,3569,4076,1310
2023-08-13,3296,3969,3900,1413
2023-08-14,3064,3441,3698,1379
2023-08-15,3475,3138,3301,1286
2023-08-16,3191,3465,3209,1360
2023-08-17,3284,3362,4128,1273
2023-08-18,3065,3387,3471,1222
2023-08-19,2779,3177,3543,1213
2023-08-20,3052,3215,3647,1261
2023-08-21,3331,3241,3619,1904
2023-08-22,3175,3043,3390,1624
2023-08-23,3233,2690,3375,1532
2023-08-24,3407,2827,3174,2051
2023-08-25,3088,2880,3772,2262
2023-08-26,3110,3013,4731,1704
2023-08-27,3055,3250,3859,1421
2023-08-28,3261,3283,3690,1351
2023-08-29,3149,2745,3082,1300
2023-08-30,3156,2903,2943,1180
2023-08-31,3291,2735,3660,1317
2023-09-01,2888,2413,3531,1272
2023-09-02,2909,2428,3129,1201
2023-09-03,3112,2630,3260,1416
2023-09-04,3270,2951,3485,1293
2023-09-05,3135,2607,3102,1286
2023-09-06,3248,2694,3316,1259
2023-09-07,3371,2768,3865,1432
2023-09-08,3266,2693,2918,1241
2023-09-09,2828,2592,3051,1331
