Date,"Anglerfish","Kendrick Lamar"
2023-12-31,2260,4785
2024-01-01,1482,4771
2024-01-02,1410,4931
2024-01-03,1384,5313
2024-01-04,1424,5077
2024-01-05,1454,5154
2024-01-06,1584,4961
2024-01-07,1509,4956
2024-01-08,1421,5041
2024-01-09,1487,5151
2024-01-10,1630,5177
2024-01-11,1747,5811
2024-01-12,1747,6778
2024-01-13,1788,6657
2024-01-14,1837,5658
2024-01-15,1521,5508
2024-01-16,1514,5492
2024-01-17,1684,5547
2024-01-18,1705,5775
2024-01-19,1484,5455
2024-01-20,1462,5721
2024-01-21,1516,5187
2024-01-22,1586,5365
2024-01-23,1546,5639
2024-01-24,1657,5577
2024-01-25,1490,5620
2024-01-26,1465,5804
2024-01-27,1467,5925
2024-01-28,1465,5696
2024-01-29,1505,5681
2024-01-30,1566,5529
2024-01-31,1642,5680
2024-02-01,1689,5790
2024-02-02,1870,5781
2024-02-03,1793,5631
2024-02-04,1777,6028
2024-02-05,1754,9979
2024-02-06,1660,8017
2024-02-07,1643,7502
2024-02-08,1711,7227
2024-02-09,1774,6634
2024-02-10,1654,7019
2024-02-11,1647,6777
2024-02-12,1455,8709
2024-02-13,1486,7025
2024-02-14,1527,6208
2024-02-15,1432,6137
2024-02-16,1365,6068
2024-02-17,1324,7952
2024-02-18,1625,6046
2024-02-19,1525,6052
2024-02-20,1513,6133
2024-02-21,1533,5946
2024-02-22,1492,5961
2024-02-23,1475,6112
2024-02-24,1593,5266
2024-02-25,1674,5515
2024-02-26,1769,5760
2024-02-27,1611,6356
2024-02-28,1584,8007
2024-02-29,1528,7072
2024-03-01,1521,6470
2024-03-02,1461,5647
2024-03-03,1436,5392
2024-03-04,1551,5781
2024-03-05,1655,5776
2024-03-06,1550,5744
2024-03-07,1592,5351
2024-03-08,1418,5044
2024-03-09,1291,4494
2024-03-10,1512,4695
2024-03-11,3891,4531
2024-03-12,3456,4506
2024-03-13,2010,4940
2024-03-14,1651,4935
2024-03-15,2385,4939
2024-03-16,2268,4752
2024-03-17,2018,4421
2024-03-18,1961,4920
2024-03-19,1464,5002
2024-03-20,1644,5642
2024-03-21,1728,5103
2024-03-22,1790,19766
2024-03-23,1692,20001
2024-03-24,1860,18963
2024-03-25,1546,17434
2024-03-26,1516,14563
2024-03-27,1467,13938
2024-03-28,1689,12616
2024-03-29,1515,11775
2024-03-30,1421,11388
2024-03-31,6003,9702
2024-04-01,2582,9840
2024-04-02,1777,9768
2024-04-03,1473,8931
2024-04-04,1713,8547
2024-04-05,2163,46186
2024-04-06,2487,24341
2024-04-07,2420,16137
2024-04-08,1941,20968
2024-04-09,2229,16830
2024-04-10,1891,14087
2024-04-11,1735,13190
2024-04-12,1782,14395
2024-04-13,1740,17544
2024-04-14,1725,22951
2024-04-15,1951,18614
2024-04-16,1805,15080
2024-04-17,2151,13433
2024-04-18,2198,11878
2024-04-19,2162,13788
2024-04-20,2103,18520
2024-04-21,2167,13850
2024-04-22,2122,13229
2024-04-23,2179,11323
2024-04-24,2108,10732
2024-04-25,2006,10420
2024-04-26,1995,9296
2024-04-27,1775,8255
2024-04-28,1986,8128
2024-04-29,1888,7978
2024-04-30,1836,30934
2024-05-01,1909,62522
2024-05-02,1871,50976
2024-05-03,1767,56930
2024-05-04,1646,176328
2024-05-05,2456,236724
2024-05-06,2131,214148
2024-05-07,2107,167939
2024-05-08,2101,135460
2024-05-09,2104,105163
2024-05-10,1860,78000
2024-05-11,1675,63868
2024-05-12,1924,54473
2024-05-13,1857,51128
2024-05-14,1512,47614
2024-05-15,1650,42889
2024-05-16,1641,38463
2024-05-17,1759,34882
2024-05-18,2117,34920
2024-05-19,3229,34283
2024-05-20,4413,32488
2024-05-21,7081,32547
2024-05-22,4048,29719
2024-05-23,2844,27743
2024-05-24,1913,24476
2024-05-25,1689,22221
2024-05-26,1888,22891
2024-05-27,2070,20340
2024-05-28,2142,20505
2024-05-29,1619,20422
2024-05-30,1786,19907
2024-05-31,2528,17964
2024-06-01,1692,17550
2024-06-02,1563,17896
2024-06-03,1634,17367
2024-06-04,1680,17273
2024-06-05,1956,16901
2024-06-06,1487,17925
2024-06-07,1634,17037
2024-06-08,2495,18945
2024-06-09,2913,17742
2024-06-10,2669,15600
2024-06-11,2036,14188
2024-06-12,1586,14710
2024-06-13,1739,13829
2024-06-14,1526,13841
2024-06-15,1440,12577
2024-06-16,1548,12576
2024-06-17,1518,16620
2024-06-18,1272,13544
2024-06-19,1273,13380
2024-06-20,1213,62478
2024-06-21,1139,56674
2024-06-22,1154,45115
2024-06-23,2074,40357
2024-06-24,4843,34670
2024-06-25,1375,27631
2024-06-26,1421,29160
2024-06-27,1409,23635
2024-06-28,1346,19210
2024-06-29,1324,18446
2024-06-30,1298,16759
2024-07-01,1398,16809
2024-07-02,1205,15765
2024-07-03,1503,15440
2024-07-04,1262,18252
2024-07-05,1163,85169
2024-07-06,1274,56577
2024-07-07,1341,41633
2024-07-08,1295,33991
2024-07-09,1300,30074
2024-07-10,1373,29085
2024-07-11,1439,26082
2024-07-12,1486,27060
2024-07-13,1400,23841
2024-07-14,1282,18429
2024-07-15,1113,17972
2024-07-16,1180,17703
2024-07-17,1313,17004
2024-07-18,1314,17374
2024-07-19,1319,15540
2024-07-20,1433,15074
2024-07-21,1577,14660
2024-07-22,1429,14419
2024-07-23,1781,14058
2024-07-24,1393,13449
2024-07-25,1525,13769
2024-07-26,1320,14097
2024-07-27,1199,12829
2024-07-28,1305,13921
2024-07-29,1294,13120
2024-07-30,1260,12353
2024-07-31,1201,12116
2024-08-01,1122,11336
2024-08-02,1133,11701
2024-08-03,1257,11076
2024-08-04,1260,10364
2024-08-05,1170,10097
2024-08-06,1258,9738
2024-08-07,1154,10151
2024-08-08,1518,9774
2024-08-09,1352,9613
2024-08-10,1572,9040
2024-08-11,2812,9897
2024-08-12,6324,10001
2024-08-13,3451,9505
2024-08-14,3236,9524
2024-08-15,2747,9507
2024-08-16,2735,9349
2024-08-17,2326,9246
2024-08-18,2077,9113
2024-08-19,1819,9304
2024-08-20,1659,9550
2024-08-21,1418,11218
2024-08-22,1486,9556
2024-08-23,1409,9364
2024-08-24,1344,8775
2024-08-25,1342,8619
2024-08-26,1410,8750
2024-08-27,1286,8690
2024-08-28,1201,9050
2024-08-29,1310,8620
2024-08-30,1308,8549
2024-08-31,1244,8149
2024-09-01,1305,8152
2024-09-02,1271,8111
2024-09-03,1387,7864
2024-09-04,1275,7514
2024-09-05,1251,8213
2024-09-06,1248,8043
2024-09-07,1263,7511
2024-09-08,1241,57855
2024-09-09,1831,50997
2024-09-10,1598,26062
2024-09-11,1262,16742
2024-09-12,1365,21500
2024-09-13,1346,17795
2024-09-14,1233,15588
2024-09-15,1314,16410
2024-09-16,1347,12769
2024-09-17,1329,11332
2024-09-18,1283,10552
2024-09-19,1383,10691
2024-09-20,1367,10566
2024-09-21,1291,10364
2024-09-22,1408,9924
2024-09-23,1320,9770
2024-09-24,1382,9525
2024-09-25,1360,9212
2024-09-26,1620,9507
2024-09-27,1470,9950
2024-09-28,1312,9086
2024-09-29,1242,9380
2024-09-30,1425,9619
2024-10-01,1274,9543
2024-10-02,1640,9503
2024-10-03,2537,9253
2024-10-04,2322,9574
2024-10-05,2241,9236
2024-10-06,1866,8929
2024-10-07,1781,9467
2024-10-08,1581,9111
2024-10-09,1574,9097
2024-10-10,1449,9269
2024-10-11,1458,9049
2024-10-12,1423,8610
2024-10-13,1415,8617
2024-10-14,1343,8681
2024-10-15,1399,8239
2024-10-16,1465,9681
2024-10-17,1417,9024
2024-10-18,1396,8879
2024-10-19,1374,8204
2024-10-20,1533,7968
2024-10-21,1547,8592
2024-10-22,1487,8998
2024-10-23,1336,8253
2024-10-24,1381,8069
2024-10-25,1294,8303
2024-10-26,1209,7864
2024-10-27,1376,7715
2024-10-28,1431,8630
2024-10-29,1411,9780
2024-10-30,1436,8232
2024-10-31,1614,7833
2024-11-01,1455,7475
2024-11-02,1289,7217
2024-11-03,1498,8339
2024-11-04,1530,8435
2024-11-05,1462,7569
2024-11-06,1308,6422
2024-11-07,1344,6934
2024-11-08,1250,8844
2024-11-09,1150,9058
2024-11-10,4312,8233
2024-11-11,2990,8207
2024-11-12,1285,7801
2024-11-13,1298,7669
2024-11-14,1351,7884
2024-11-15,1494,7402
2024-11-16,1265,6562
